Time,Sensor0,Sensor1,Sensor2,Sensor3,Sensor4
2021-11-26 15:30:22.950320,64.948,64.808,52.208,55.259,64.948
2021-11-26 15:30:25.060497,64.948,64.808,52.208,55.259,64.934
2021-11-26 15:30:27.170428,64.934,64.808,52.208,55.259,64.934
2021-11-26 15:30:29.270473,64.948,64.808,52.208,55.259,64.934
2021-11-26 15:30:31.373757,64.948,64.808,52.194,55.245,64.934
2021-11-26 15:30:33.484656,64.948,64.808,52.208,55.259,64.948
2021-11-26 15:30:35.590932,64.963,64.808,52.208,55.259,64.948
2021-11-26 15:30:37.706476,64.948,64.808,52.208,55.259,64.948
2021-11-26 15:30:39.797019,64.948,64.808,52.194,55.259,64.948
2021-11-26 15:30:41.900599,64.948,64.808,52.194,55.259,64.948
2021-11-26 15:30:44.007985,64.948,64.822,52.194,55.259,64.948
2021-11-26 15:30:46.119168,64.948,64.808,52.208,55.259,64.948
2021-11-26 15:30:48.237767,64.948,64.808,52.208,55.259,64.963
2021-11-26 15:30:50.353574,64.948,64.822,52.194,55.245,64.948
2021-11-26 15:30:52.473705,64.963,64.808,52.194,55.245,64.963
2021-11-26 15:30:54.585539,64.948,64.822,52.194,55.259,64.948
2021-11-26 15:30:56.698061,64.963,64.822,52.194,55.259,64.948
2021-11-26 15:30:58.813365,64.948,64.822,52.194,55.259,64.963
2021-11-26 15:31:01.106627,64.934,64.808,52.194,55.259,64.948
2021-11-26 15:31:03.245397,64.948,64.822,52.194,55.259,64.948
2021-11-26 15:31:05.361277,64.948,64.836,52.208,55.245,64.948
2021-11-26 15:31:07.466762,64.948,64.836,52.194,55.245,64.963
2021-11-26 15:31:09.573939,64.934,64.836,52.194,55.245,64.963
2021-11-26 15:31:11.692268,64.934,64.822,52.194,55.259,64.963
2021-11-26 15:31:13.807916,64.948,64.822,52.194,55.259,64.963
2021-11-26 15:31:16.546745,64.948,64.836,52.194,55.245,64.963
2021-11-26 15:31:18.652020,64.948,64.822,52.194,55.259,64.948
2021-11-26 15:31:20.768670,64.934,64.822,52.18,55.259,64.963
2021-11-26 15:31:22.880433,64.948,64.836,52.194,55.259,64.963
2021-11-26 15:31:24.990833,64.948,64.836,52.18,55.259,64.963
2021-11-26 15:31:27.096938,64.948,64.822,52.18,55.245,64.977
2021-11-26 15:31:29.200615,64.934,64.822,52.194,55.259,64.963
2021-11-26 15:31:31.308531,64.948,64.822,52.194,55.259,64.963
2021-11-26 15:31:33.422770,64.963,64.822,52.18,55.259,64.948
2021-11-26 15:31:35.525407,64.934,64.836,52.18,55.259,64.963
2021-11-26 15:31:37.640091,64.948,64.808,52.18,55.245,64.963
2021-11-26 15:31:39.742311,64.948,64.822,52.18,55.245,64.963
2021-11-26 15:31:41.846455,64.948,64.822,52.194,55.259,64.948
2021-11-26 15:31:43.970543,64.948,64.808,52.194,55.245,64.948
2021-11-26 15:31:46.084476,64.948,64.808,52.18,55.245,64.963
2021-11-26 15:31:48.199765,64.948,64.808,52.18,55.245,64.948
2021-11-26 15:31:50.299455,64.948,64.808,52.18,55.259,64.948
2021-11-26 15:31:52.412247,64.948,64.808,52.18,55.259,64.948
2021-11-26 15:31:54.516693,64.963,64.808,52.18,55.259,64.934
2021-11-26 15:31:56.630831,64.948,64.808,52.18,55.259,64.948
2021-11-26 15:31:58.743970,64.948,64.808,52.18,55.245,64.948
2021-11-26 15:32:00.867094,64.948,64.808,52.18,55.245,64.948
2021-11-26 15:32:03.018423,64.948,64.808,52.18,55.259,64.934
2021-11-26 15:32:05.124401,64.948,64.808,52.18,55.245,64.934
2021-11-26 15:32:07.227590,64.948,64.808,52.18,55.259,64.934
2021-11-26 15:32:09.339116,64.948,64.822,52.18,55.259,64.934
2021-11-26 15:32:11.442703,64.963,64.808,52.18,55.259,64.934
2021-11-26 15:32:13.566858,64.948,64.808,52.18,55.245,64.948
2021-11-26 15:32:15.674614,64.948,64.822,52.18,55.245,64.948
2021-11-26 15:32:17.783642,64.948,64.822,52.194,55.245,64.948
2021-11-26 15:32:19.893521,64.948,64.808,52.18,55.259,64.934
2021-11-26 15:32:21.999147,64.963,64.808,52.166,55.259,64.934
2021-11-26 15:32:24.109431,64.934,64.808,52.18,55.245,64.934
2021-11-26 15:32:26.216232,64.948,64.808,52.18,55.245,64.948
2021-11-26 15:32:28.329197,64.948,64.808,52.18,55.245,64.948
2021-11-26 15:32:30.438671,64.948,64.808,52.18,55.245,64.934
2021-11-26 15:32:32.549486,64.948,64.808,52.18,55.245,64.948
2021-11-26 15:32:34.650346,64.948,64.808,52.18,55.245,64.948
2021-11-26 15:32:36.763771,64.948,64.808,52.18,55.259,64.991
2021-11-26 15:32:38.884304,64.948,64.808,52.166,55.259,64.977
2021-11-26 15:32:40.994746,64.934,64.808,52.18,55.245,64.977
2021-11-26 15:32:43.109493,64.934,64.808,52.166,55.259,65.005
2021-11-26 15:32:45.202596,64.948,64.822,52.18,55.245,65.019
2021-11-26 15:32:47.301562,64.948,64.822,52.18,55.245,65.019
2021-11-26 15:32:49.411063,64.948,64.808,52.152,55.259,65.019
2021-11-26 15:32:51.519858,64.948,64.808,52.18,55.259,65.019
2021-11-26 15:32:53.642452,64.948,64.822,52.166,55.259,65.019
2021-11-26 15:32:55.753641,64.948,64.808,52.166,55.245,65.005
2021-11-26 15:32:57.865179,64.948,64.822,52.18,55.259,65.005
2021-11-26 15:32:59.967492,64.934,64.808,52.152,55.245,65.019
2021-11-26 15:33:02.091922,64.948,64.822,52.18,55.259,65.005
2021-11-26 15:33:04.208100,64.948,64.822,52.166,55.245,65.019
2021-11-26 15:33:06.314480,64.948,64.808,52.166,55.245,65.019
2021-11-26 15:33:08.420911,64.934,64.808,52.166,55.245,65.019
2021-11-26 15:33:10.529003,64.948,64.822,52.166,55.259,65.019
2021-11-26 15:33:12.627214,64.934,64.822,52.152,55.259,65.019
2021-11-26 15:33:14.736778,64.948,64.822,52.18,55.245,65.019
2021-11-26 15:33:16.847805,64.948,64.822,52.152,55.245,65.019
2021-11-26 15:33:18.951829,64.934,64.822,52.152,55.259,65.019
2021-11-26 15:33:21.074840,64.948,64.808,52.152,55.259,65.019
2021-11-26 15:33:23.179023,64.948,64.822,52.166,55.245,65.033
2021-11-26 15:33:25.345313,64.948,64.822,52.152,55.259,65.019
2021-11-26 15:33:27.461416,64.948,64.822,52.166,55.259,65.019
2021-11-26 15:33:29.558592,64.948,64.808,52.152,55.259,65.019
2021-11-26 15:33:31.672470,64.934,64.822,52.152,55.259,65.005
2021-11-26 15:33:33.788738,64.963,64.822,52.152,55.245,65.019
2021-11-26 15:33:35.898186,64.934,64.808,52.18,55.259,65.019
2021-11-26 15:33:38.008253,64.948,64.808,52.152,55.245,65.005
2021-11-26 15:33:40.121600,64.948,64.808,52.152,55.259,65.005
